and;a
indisposed;niedysponowani
indisposed;niedysponowanie
indisposed;niedysponowany
entrant without;niedysponuj¹cym
inoperative;niedzia³aj¹ca
inoperative;niedzia³aj¹c¹
broken;niedzia³aj¹ce
inoperative;niedzia³aj¹cego
inoperative;niedzia³aj¹cej
broken;niedzia³aj¹cy
broken;niedzia³aj¹cych
inoperative;niedzia³aj¹cym
inoperative;niedzia³aj¹cymi
non;niedzia³ania
inaction;niedzia³anie
NON;niedzia³aniem
inaction;niedzia³aniu
SUNDAY;niedziana
SUNDAY;niedzian¹
Mitts;niedziane
SUNDAY;niedziani
SUNDAY;niedzianie
SUNDAY;niedziany
Niedzica;niedzicy
non-inherited;niedziedziczna
non-inherited;niedziedziczn¹
non-inherited;niedziedziczne
non-inherited;niedziedzicznej
inheritable;niedziedzicznych
inherited;niedziedziczona
inherited;niedziedziczon¹
inherited;niedziedziczone
inherited;niedziedziczonej
Sundays;niedziel
Sunday;niedziela
Sundays;niedzielach
Sundays;niedzielami
Sunday;niedziel¹
non-dividing;niedziel¹ca
non-dividing;niedziel¹c¹
non-dividing;niedziel¹ce
non-dividing;niedziel¹cej
nondividing;niedziel¹cych
Sundays;niedziele
Sunday;niedzielenie
Sunday;niedzielê
Sunday;niedzieli
Sunday;niedzielna
Sunday;niedzieln¹
Sunday;niedzielne
Sunday;niedzielnego
Sunday;niedzielnej
its Sunday;niedzielni
its Sunday;niedzielnie
Sunday;niedzielny
Sunday;niedzielnych
Sunday;niedzielnym
sunday's;niedzielnymi
unshared;niedzielona
unshared;niedzielon¹
unshared;niedzielone
unshared;niedzielonej
antiquated;niedzisiejszy
bearish;niedŸwiedzi
bear;niedŸwiedzia
bears;niedŸwiedziach
bears;niedŸwiedziami
bears;niedŸwiedzie
bear;niedŸwiedziem
bears;niedŸwiedziom
bear;niedŸwiedziowi
bear;niedŸwiedziowie
bear;niedŸwiedziu
bear;niedŸwiedŸ
dull;niedŸwiêczna
dull;niedŸwiêczn¹
dull;niedŸwiêczne
dull;niedŸwiêcznej
dull;niedŸwiêczny
dull;niedŸwiêcznym
non-educational;nieedukacyjna
non-educational;nieedukacyjn¹
non-educational;nieedukacyjne
non-educational;nieedukacyjnej
non-educational;nieedukacyjnych
ineffective;nieefektywna
ineffective;nieefektywn¹
ineffective;nieefektywne
ineffective;nieefektywnego
ineffective;nieefektywnej
ineffective;nieefektywnemu
ineffective;nieefektywni
inefficiently;nieefektywnie
ineffective;nieefektywny
ineffective;nieefektywnych
ineffective;nieefektywnym
ineffective;nieefektywnymi
selfless;nieegoistyczna
unselfish;nieegoistyczn¹
unselfish;nieegoistyczne
unselfish;nieegoistycznego
unselfish;nieegoistycznej
not selfish;nieegoistyczni
unselfishly;nieegoistycznie
unselfish;nieegoistyczny
unselfish;nieegoistycznych
non-exotic;nieegzotyczna
exotic diseases;nieegzotyczn¹
NON-EXOTIC;nieegzotyczne
non-exotic;nieegzotycznej
non-exotic;nieegzotycznych
non-exotic;nieegzotycznymi
non-organic;nieekologiczna
non-organic;nieekologiczn¹
non-organic;nieekologiczne
non-organic;nieekologicznego
non-organic;nieekologicznej
non-organically;nieekologiczni
non-organically;nieekologicznie
non-organic;nieekologiczny
non-organic;nieekologicznych
non-organic;nieekologicznym
non-organic;nieekologicznymi
uneconomical;nieekonomiczna
uneconomical;nieekonomiczn¹
uneconomical;nieekonomiczne
wasteful;nieekonomicznego
uneconomic;nieekonomicznej
wasteful;nieekonomicznemu
uneconomically;nieekonomiczni
uneconomically;nieekonomicznie
thriftless;nieekonomiczny
wasteful;nieekonomicznych
uneconomical;nieekonomicznym
uneconomic;nieekonomicznymi
non-experimental;nieeksperymentalna
non-experimental;nieeksperymentaln¹
non-experimental;nieeksperymentalne
non-experimental;nieeksperymentalnej
non-experimental;nieeksperymentalnych
inelastic;nieelastyczna
inelastic;nieelastyczn¹
inflexible;nieelastyczne
inelastic;nieelastycznego
inelastic;nieelastycznej
inflexible;nieelastyczni
inflexibly;nieelastycznie
inelastic;nieelastyczny
inelastic;nieelastycznych
inelastic;nieelastycznym
inflexible;nieelastycznymi
inelegant;nieelegancka
inelegant;nieeleganck¹
inelegant;nieelegancki
inelegant;nieeleganckie
inelegant;nieeleganckiego
inelegant;nieeleganckiej
inelegantly;nieelegancko
non-electronic;nieelektroniczna
non-electronic;nieelektroniczn¹
non-electronic;nieelektroniczne
non-electronic;nieelektronicznego
non-electronic;nieelektronicznej
non-electronic;nieelektroniczny
non-electronic;nieelektronicznych
non-electronic;nieelektronicznym
non-electrical;nieelektryczna
non-electric;nieelektryczn¹
non-electric;nieelektryczne
non-electrical;nieelektrycznego
electroless;nieelektrycznej
non-electric;nieelektryczny
non-electrical;nieelektrycznych
nonelectric;nieelektrycznym
non-electric;nieelektrycznymi
non-elementary;nieelementarna
non-elementary;nieelementarn¹
non-elementary;nieelementarne
non-elementary;nieelementarnej
Deleted;nieemitowana
Deleted;nieemitowan¹
Deleted;nieemitowane
Deleted;nieemitowani
Deleted;nieemitowanie
non-broadcast;nieemitowany
zero emission;nieemituj¹ca
zero emission;nieemituj¹c¹
emit no;nieemituj¹ce
zero emission;nieemituj¹cej
produces no;nieemituj¹cy
stolid;nieemocjonalny
nonemotional;nieemocjonalnych
Non-energy;nieenergetyczna
Non-energy;nieenergetyczn¹
Non-energy;nieenergetyczne
non-energy;nieenergetycznego
Non-energy;nieenergetycznej
Non-energy;nieenergetycznych
non-energy;nieenergetycznymi
unsightly;nieestetyczna
unaesthetic;nieestetyczn¹
unsightly;nieestetyczne
unsightly;nieestetycznego
unsightly;nieestetycznej
unsightly;nieestetycznemu
unsightly;nieestetyczni
unsightly;nieestetycznie
unsightly;nieestetyczny
unsightly;nieestetycznych
unaesthetic;nieestetycznym
unsightly;nieestetycznymi
non-ethnic;nieetniczna
non-ethnic;nieetniczn¹
non-ethnic;nieetniczne
non-ethnic;nieetnicznego
non-ethnic;nieetnicznej
nonethnic;nieetnicznych
unethical;nieetyczna
unethical;nieetyczn¹
unethical;nieetyczne
unethical;nieetycznego
unethical;nieetycznej
unethical;nieetycznemu
unethical;nieetyczni
unethically;nieetycznie
immoral;nieetyczny
unethical;nieetycznych
unethical;nieetycznym
unethical;nieetycznymi
Non-European;nieeuropejscy
non-European;nieeuropejska
non-European;nieeuropejsk¹
Non-European;nieeuropejski
non-European;nieeuropejskich
Non-European;nieeuropejskie
non-European;nieeuropejskiego
non-European;nieeuropejskiej
non-European;nieeuropejskim
non-European;nieeuropejskimi
not cool;niefajna
not cool;niefajn¹
Not good;niefajne
uncool;niefajnej
uncool;niefajni
Not cool;niefajnie
not nice;niefajny
uncorrugated;niefalistych
UNADULTERATED;niefa³szowana
The unvarnished;niefa³szowan¹
UNADULTERATED;niefa³szowane
UNADULTERATED;niefa³szowani
falsifying;niefa³szowanie
UNADULTERATED;niefa³szowany
truthful;niefa³szywy
uncoloured;niefarbowana
uncoloured;niefarbowan¹
uncoloured;niefarbowane
undyed;niefarbowanej
uncoloured;niefarbowani
uncoloured;niefarbowanie
uncoloured;niefarbowany
undyed;niefarbowañ
non-bleeding;niefarbuj¹ca
non-bleeding;niefarbuj¹c¹
non-bleeding;niefarbuj¹ce
non-bleeding;niefarbuj¹cej
non-pharmaceutical;niefarmaceutyczna
non-pharmaceutical;niefarmaceutyczn¹
non-pharmaceutical;niefarmaceutyczne
non-pharmaceutical;niefarmaceutycznej
non-pharmaceutical;niefarmaceutycznych
non-pharmaceutical;niefarmaceutycznymi
non-fiction;niefikcyjna
non-fiction;niefikcyjn¹
non-fiction;niefikcyjne
non-fiction;niefikcyjnego
non-fiction;niefikcyjnej
non-fiction;niefikcyjnych
non-movie;niefilmowa
non-movie;niefilmow¹
non-movie;niefilmowe
non-movie;niefilmowej
unphilosophical;niefilozoficzna
unphilosophical;niefilozoficzn¹
unphilosophical;niefilozoficzne
unphilosophical;niefilozoficznej
non-philosophical;niefilozoficznych
non-financial;niefinansowa
non-financial;niefinansow¹
Non-financial;niefinansowe
non-financial;niefinansowego
non-financial;niefinansowej
non-financial;niefinansowemu
Non-financial;niefinansowi
non-financial;niefinansowy
non-financial;niefinansowych
non-financial;niefinansowym
non-financial;niefinansowymi
non-physiological;niefizjologiczna
unphysiological;niefizjologiczn¹
non-physiological;niefizjologiczne
non-physiological;niefizjologicznego
non-physiological;niefizjologicznej
unphysiologic;niefizjologiczni
unphysiologic;niefizjologicznie
non-physiological;niefizjologiczny
non-physiological;niefizjologicznych
non-physiological;niefizjologicznym
non-physiological;niefizjologicznymi
nonphysical;niefizyczna
nonphysical;niefizyczn¹
nonphysical;niefizyczne
nonphysical;niefizycznego
nonphysical;niefizycznej
nonphysical;niefizyczny
nonphysical;niefizycznych
nonphysical;niefizycznym
nonphysical;niefizycznymi
informal;nieformalna
informal;nieformaln¹
informal;nieformalne
informal;nieformalnego
informal;nieformalnej
informal;nieformalnemu
informal;nieformalni
informally;nieformalnie
informal;nieformalny
informal;nieformalnych
informal;nieformalnym
informal;nieformalnymi
unshaped;nieformowana
unshaped;nieformowan¹
unshaped;nieformowane
unmolded;nieformowanej
unshaped;nieformowani
unshaped;nieformowanie
unshaped;nieformowany
unformed;nieformowanych
unmolded;nieformowañ
non-photographic;niefotograficzna
non-photographic;niefotograficzn¹
non-photographic;niefotograficzne
non-photographic;niefotograficznej
A non-French;niefrancuski
non-French;niefrancuskich
un-French;niefrancuskie
A non-French;niefrancuskiej
non-performance;niefunkcjonowania
working of;niefunkcjonowanie
NON-PERFORMANCE;niefunkcjonowaniem
Non-enforced;niefunkcjonuj¹ca
nonfunctional;niefunkcjonuj¹c¹
nonfunctional;niefunkcjonuj¹ce
non-functional;niefunkcjonuj¹cego
defunct;niefunkcjonuj¹cej
lack of an effective;niefunkcjonuj¹cy
non-functional;niefunkcjonuj¹cych
nonfunctional;niefunkcjonuj¹cymi
reticent;niegadatliwy
quicklime;niegaszona
quicklime;niegaszon¹
quicklime;niegaszone
quicklime;niegaszonego
quicklime;niegaszonej
quicklime;niegaszonym
Non-aerated;niegazowa
Non-aerated;niegazow¹
non-gas;niegazowe
non-gaseous;niegazowego
non-gaseous;niegazowej
nongaseous;niegazowy
non-gaseous;niegazowych
once;niegdyœ
nongenetic;niegenetyczna
nongenetic;niegenetyczn¹
nongenetic;niegenetyczne
nongenetic;niegenetycznej
nongenetic;niegenetycznych
non-geographical;niegeograficzna
non-geographical;niegeograficzn¹
Non-geographic;niegeograficzne
non-geographical;niegeograficznej
non-geographic;niegeograficzny
non-geographic;niegeograficznych
non-geographical;niegeograficznym
Massenelement;niegeometryczna
non-geometric;niegeometryczn¹
Massenelement;niegeometryczne
Massenelement;niegeometrycznej
noncompact;niegêstego
thinly;niegêsto
thinnish;niegêsty
non-listed;niegie³dowa
non-listed;niegie³dow¹
non-listed;niegie³dowe
non-listed;niegie³dowej
unlisted;niegie³dowych
inflexible;niegiêtki
inflexible;niegiêtkie
inflexible;niegiêtkiej
non-global;nieglobalna
non-global;nieglobaln¹
non-global;nieglobalne
non-global;nieglobalnej
nonglobal;nieglobalnych
non-smooth;nieg³adka
non-smooth;nieg³adk¹
uneven;nieg³adki
nonsmooth;nieg³adkich
unpolished;nieg³adkie
non smooth;nieg³adkiego
non-smooth;nieg³adkiej
roughly;nieg³adko
shallow;nieg³êboki
trivial;nieg³êbokie
trivial;nieg³êbokiej
not very deep;nieg³êboko
not hungry;nieg³odny
non-voice;nieg³osowana
non-voice;nieg³osowan¹
non-voice;nieg³osowane
non-voice;nieg³osowani
not voting;nieg³osowania
non-voice;nieg³osowanie
not voting;nieg³osowaniem
non-voice;nieg³osowany
not voting;nieg³osuj¹ca
not voting;nieg³osuj¹c¹
not voting;nieg³osuj¹ce
not voting;nieg³osuj¹cej
not voting;nieg³osuj¹cych
Nieg³oœne;nieg³oœna
Nieg³oœne;nieg³oœn¹
of quiet;nieg³oœnego
Nieg³oœne;nieg³oœnej
softly;nieg³oœno
soft;nieg³oœny
non-root;nieg³ówna
non-root;nieg³ówn¹
non-root;nieg³ówne
non-root;nieg³ównej
stupid;nieg³upi
stupid;nieg³upia
rather smart;nieg³upi¹
Sounds smart;nieg³upie
stupid;nieg³upiej
him;niego
unworthy;niegodna
unworthy;niegodn¹
unworthy;niegodne
unworthy;niegodnego
unworthy;niegodnej
unworthy;niegodnemu
unworthy;niegodni
unworthily;niegodnie
unworthy;niegodny
unworthy;niegodnych
unworthy;niegodnym
unworthy;niegodnymi
worthy;niegodzien
wicked;niegodziwa
wickedly;niegodziw¹
wicked;niegodziwe
wicked;niegodziwego
wicked;niegodziwej
the wicked;niegodziwemu
the wicked;niegodziwi
vilely;niegodziwie
wicked;niegodziwy
the wicked;niegodziwych
wicked;niegodziwym
wicked;niegodziwymi
non-shaved;niegolonym
not hot;niegor¹ca
not hot;niegor¹c¹
not hot;niegor¹ce
not hot;niegor¹cej
not hot;niegor¹co
not hot;niegor¹cy
non-bitter;niegorzki
non-bitter;niegorzkie
non-bitter;niegorzkiej
non-economic;niegospodarcza
non-economic;niegospodarcz¹
non-economic;niegospodarcze
non-economic;niegospodarczego
non-economic;niegospodarczej
thriftless;niegospodarczy
non-economic;niegospodarczych
non-economic;niegospodarczym
Niegoszcz;niegoszczenie
inhospitable;niegoœcinna
inhospitable;niegoœcinn¹
inhospitable;niegoœcinne
inhospitable;niegoœcinnego
inhospitable;niegoœcinnej
inhospitable;niegoœcinni
inhospitably;niegoœcinnie
inhospitable;niegoœcinny
inhospitable;niegoœcinnych
inhospitable;niegoœcinnym
not ready;niegotowa
uncooked;niegotowana
uncooked;niegotowan¹
uncooked;niegotowane
uncooked;niegotowanego
uncooked;niegotowanej
uncooked;niegotowani
uncooked;niegotowanie
uncooked;niegotowany
uncooked;niegotowanych
uncooked;niegotowanym
uncooked;niegotowañ
not ready;niegotow¹
not ready;niegotowe
unready;niegotowego
unprepared;niegotowej
not ready;niegotowi
not ready;niegotowy
unready;niegotowych
faulted;niegotowymi
uncooked;niegotów
nongraphic;niegraficzna
nongraphic;niegraficzn¹
nongraphic;niegraficzne
nongraphic;niegraficznej
nongraphic;niegraficznych
non-graphical;niegraficznym
match it;niegraj¹cymi
ungrammatical;niegramatyczna
ungrammatical;niegramatyczn¹
ungrammatical;niegramatyczne
ungrammatical;niegramatycznej
incorrect;niegramatyczny
bad grammar;niegramatycznych
ungrammatical;niegramatycznym
not border;niegranicz¹ca
not border;niegranicz¹c¹
not border;niegranicz¹ce
not border;niegranicz¹cej
than neighbor;niegranicz¹cymi
not accumulate;niegromadzenie
not collected;niegromadzona
not collected;niegromadzon¹
not collected;niegromadzone
not collected;niegromadzonej
harmless;niegroŸna
harmless;niegroŸn¹
harmless;niegroŸne
harmless;niegroŸnego
harmless;niegroŸnej
harmless;niegroŸni
harmless;niegroŸnie
harmless;niegroŸny
harmless;niegroŸnych
harmless;niegroŸnym
harmless;niegroŸnymi
by thin;niegruba
by thin;niegrub¹
by thin;niegrube
by thin;niegrubej
Unbundled;niegrupowa
Unbundled;niegrupow¹
Unbundled;niegrupowe
Unbundled;niegrupowej
non-multicast;niegrupowym
Unheated;niegrzana
Unheated;niegrzan¹
Unheated;niegrzane
unheated;niegrzanej
Unheated;niegrzani
Unheated;niegrzanie
Unheated;niegrzany
Unheated;niegrzanym
unheated;niegrzañ
naughty;niegrzeczna
naughty;niegrzeczn¹
naughty;niegrzeczne
naughty;niegrzecznego
naughty;niegrzecznej
naughty;niegrzecznemu
rude;niegrzeczni
rudely;niegrzecznie
rude;niegrzeczny
naughty;niegrzecznych
naughty;niegrzecznym
naughty;niegrzecznymi
sinning;niegrzeszenia
sinning;niegrzeszeniem
non-rubber;niegumowych
not violent;niegwa³towna
not violent;niegwa³town¹
not violent;niegwa³towne
not violent;niegwa³townej
gentle;niegwa³towny
non-guaranteed;niegwarantowana
unguaranteed;niegwarantowan¹
guaranteed;niegwarantowane
non-guaranteed;niegwarantowanego
unguaranteed;niegwarantowanej
'Products;niegwarantowani
'Products;niegwarantowanie
'Products;niegwarantowany
guaranteed;niegwarantowanych
best effort;niegwarantowanym
non-guaranteed;niegwarantowanymi
unguaranteed;niegwarantowañ
not guarantee;niegwarantuj¹ca
not guarantee;niegwarantuj¹c¹
not guarantee;niegwarantuj¹ce
not guarantee;niegwarantuj¹cej
deflecting;niegwarantuj¹cy
not guarantee;niegwarantuj¹cych
noiseless;nieha³aœliwy
unbraked;niehamowana
uninhibited;niehamowan¹
uninhibited;niehamowane
unopposed;niehamowanego
uninhibited;niehamowanej
unim- peded;niehamowanemu
uninhibited;niehamowani
uninhibited;niehamowanie
uninhibited;niehamowany
unbraked;niehamowanych
unsuppressed;niehamowanym
uninhibited;niehamowanymi
uninhibited;niehamowañ
do not impede;niehamuj¹ca
do not impede;niehamuj¹c¹
do not impede;niehamuj¹ce
non-braking;niehamuj¹cego
do not impede;niehamuj¹cej
not inhibit;niehamuj¹cy
braked;niehamuj¹cych
non-braking;niehamuj¹cym
do not impede;niehamuj¹cymi
Non-trade;niehandlowa
Non-trade;niehandlowanie
non-commercial;niehandlow¹
non-commercial;niehandlowe
non-commercial;niehandlowego
non-commercial;niehandlowej
non-commercial;niehandlowy
non-commercial;niehandlowych
commercial;niehandlowym
non-commercial;niehandlowymi
disharmonious;nieharmonijna
disharmonious;nieharmonijn¹
disharmonious;nieharmonijne
disharmonious;nieharmonijnej
disharmonious;nieharmonijni
disharmonious;nieharmonijnie
inharmonious;nieharmonijny
disharmonious;nieharmonijnych
disharmonious;nieharmonijnym
non-Hebrew;niehebrajski
non-Hebrew;niehebrajskie
non-Hebrew;niehebrajskiej
unhygienic;niehigieniczna
unsanitary;niehigieniczn¹
unsanitary;niehigieniczne
unhygienic;niehigienicznego
unhygienic;niehigienicznej
unhygienic;niehigieniczni
unhygienic;niehigienicznie
unhygienic;niehigieniczny
insanitary;niehigienicznych
unhygienic;niehigienicznym
insanitary;niehigienicznymi
unhistorical;niehistoryczna
unhistorical;niehistoryczn¹
unhistorical;niehistoryczne
unhistorical;niehistorycznej
non-historical;niehistorycznych
Not Hispanic;niehiszpañski
non-Spanish;niehiszpañskich
Not Hispanic;niehiszpañskie
Not Hispanic;niehiszpañskiej
Non-egg;niehodowana
Non-egg;niehodowan¹
Non-egg;niehodowane
Non-egg;niehodowani
Non-egg;niehodowanie
Non-egg;niehodowany
bred;niehodowanych
non-cultivated;niehodowlana
non-cultivated;niehodowlan¹
non-cultivated;niehodowlane
non-cultivated;niehodowlani
non-cultivated;niehodowlany
non-breeding;niehodowlanych
not keeping;niehoduj¹cych
not generous;niehojny
non-Dutch;nieholenderskim
dishonorable;niehonorowa
dishonorable;niehonorow¹
dishonorable;niehonorowe
villainous;niehonorowego
dishonorable;niehonorowej
dishonorable;niehonorowo
unfair;niehonorowy
dishonorable;niehonorowych
dishonorable;niehonorowym
inhumane;niehumanitarna
inhumane;niehumanitarn¹
inhumane;niehumanitarne
inhumane;niehumanitarnego
the inhumane;niehumanitarnej
inhuman;niehumanitarnemu
inhumanely;niehumanitarni
inhumanely;niehumanitarnie
inhumane;niehumanitarny
inhumane;niehumanitarnych
inhumane;niehumanitarnym
uncharitable;niehumanitarnymi
non-hydraulic;niehydrauliczna
non-hydraulic;niehydrauliczn¹
non-hydraulic;niehydrauliczne
